user;action;timestamp
1;A;28/12/2014 13:25:41
1;A;29/12/2014 13:25:41
1;A;30/12/2014 13:25:41
1;A;31/12/2014 13:25:41
1;A;01/01/2015 13:25:41
1;A;02/01/2015 13:25:41
1;A;03/01/2015 13:25:41
1;A;04/01/2015 13:25:41
1;A;05/01/2015 13:25:41
1;A;06/01/2015 13:25:41
1;A;07/01/2015 13:25:41
1;A;08/01/2015 13:25:41
1;A;09/01/2015 13:25:41
1;A;10/01/2015 13:25:41
1;A;11/01/2015 13:25:41
1;A;12/01/2015 13:25:41
1;A;13/01/2015 13:25:41
1;A;14/01/2015 13:25:41
1;A;15/01/2015 13:25:41
1;A;16/01/2015 13:25:41
2;A;17/01/2015 13:25:41
2;A;18/01/2015 13:25:41
2;A;19/01/2015 13:25:41
2;A;20/01/2015 13:25:41
2;A;21/01/2015 13:25:41
2;A;22/01/2015 13:25:41
2;A;23/01/2015 13:25:41
2;A;24/01/2015 13:25:41
2;A;25/01/2015 13:25:41
2;A;26/01/2015 13:25:41
2;A;27/01/2015 13:25:41
2;A;28/01/2015 13:25:41
2;A;29/01/2015 13:25:41
2;A;30/01/2015 13:25:41
2;A;31/01/2015 13:25:41
2;A;01/02/2015 13:25:41
2;A;02/02/2015 13:25:41
2;A;03/02/2015 13:25:41
2;A;04/02/2015 13:25:41
2;A;05/02/2015 13:25:41
3;A;06/02/2015 13:25:41
3;A;07/02/2015 13:25:41
3;A;08/02/2015 13:25:41
3;A;09/02/2015 13:25:41
3;A;10/02/2015 13:25:41
3;A;11/02/2015 13:25:41
3;A;12/02/2015 13:25:41
3;A;13/02/2015 13:25:41
3;A;14/02/2015 13:25:41
3;A;15/02/2015 13:25:41
3;A;16/02/2015 13:25:41
3;A;17/02/2015 13:25:41
3;A;18/02/2015 13:25:41
3;A;19/02/2015 13:25:41
3;A;20/02/2015 13:25:41
3;A;21/02/2015 13:25:41
3;A;22/02/2015 13:25:41
3;A;23/02/2015 13:25:41
3;A;24/02/2015 13:25:41
3;A;25/02/2015 13:25:41
4;A;26/02/2015 13:25:41
4;A;27/02/2015 13:25:41
4;A;28/02/2015 13:25:41
4;A;01/03/2015 13:25:41
4;A;02/03/2015 13:25:41
4;A;03/03/2015 13:25:41
4;A;04/03/2015 13:25:41
4;A;05/03/2015 13:25:41
4;A;06/03/2015 13:25:41
4;A;07/03/2015 13:25:41
4;A;08/03/2015 13:25:41
4;A;09/03/2015 13:25:41
4;A;10/03/2015 13:25:41
4;A;11/03/2015 13:25:41
4;A;12/03/2015 13:25:41
4;A;13/03/2015 13:25:41
4;A;14/03/2015 13:25:41
4;A;15/03/2015 13:25:41
4;A;16/03/2015 13:25:41
4;A;17/03/2015 13:25:41
5;A;18/03/2015 13:25:41
5;A;19/03/2015 13:25:41
5;A;20/03/2015 13:25:41
5;A;21/03/2015 13:25:41
5;A;22/03/2015 13:25:41
5;A;23/03/2015 13:25:41
5;A;24/03/2015 13:25:41
5;A;25/03/2015 13:25:41
5;A;26/03/2015 13:25:41
5;A;27/03/2015 13:25:41
5;A;28/03/2015 13:25:41
5;A;29/03/2015 13:25:41
5;A;30/03/2015 13:25:41
5;A;31/03/2015 13:25:41
5;A;01/04/2015 13:25:41
5;A;02/04/2015 13:25:41
5;A;03/04/2015 13:25:41
5;A;04/04/2015 13:25:41
5;A;05/04/2015 13:25:41
5;A;06/04/2015 13:25:41
6;A;07/04/2015 13:25:41
6;A;08/04/2015 13:25:41
6;A;09/04/2015 13:25:41
6;A;10/04/2015 13:25:41
6;A;11/04/2015 13:25:41
6;A;12/04/2015 13:25:41
6;A;13/04/2015 13:25:41
6;A;14/04/2015 13:25:41
6;A;15/04/2015 13:25:41
6;A;16/04/2015 13:25:41
6;A;17/04/2015 13:25:41
6;A;18/04/2015 13:25:41
6;A;19/04/2015 13:25:41
6;A;20/04/2015 13:25:41
6;A;21/04/2015 13:25:41
6;A;22/04/2015 13:25:41
6;A;23/04/2015 13:25:41
6;A;24/04/2015 13:25:41
6;A;25/04/2015 13:25:41
6;A;26/04/2015 13:25:41
7;A;27/04/2015 13:25:41
7;A;28/04/2015 13:25:41
7;A;29/04/2015 13:25:41
7;A;30/04/2015 13:25:41
7;A;01/05/2015 13:25:41
7;A;02/05/2015 13:25:41
7;A;03/05/2015 13:25:41
7;A;04/05/2015 13:25:41
7;A;05/05/2015 13:25:41
7;A;06/05/2015 13:25:41
7;A;07/05/2015 13:25:41
7;A;08/05/2015 13:25:41
7;A;09/05/2015 13:25:41
7;A;10/05/2015 13:25:41
7;A;11/05/2015 13:25:41
7;A;12/05/2015 13:25:41
7;A;13/05/2015 13:25:41
7;A;14/05/2015 13:25:41
7;A;15/05/2015 13:25:41
7;A;16/05/2015 13:25:41
8;A;17/05/2015 13:25:41
8;A;18/05/2015 13:25:41
8;A;19/05/2015 13:25:41
8;A;20/05/2015 13:25:41
8;A;21/05/2015 13:25:41
8;A;22/05/2015 13:25:41
8;A;23/05/2015 13:25:41
8;A;24/05/2015 13:25:41
8;A;25/05/2015 13:25:41
8;A;26/05/2015 13:25:41
8;A;27/05/2015 13:25:41
8;A;28/05/2015 13:25:41
8;A;29/05/2015 13:25:41
8;A;30/05/2015 13:25:41
8;A;31/05/2015 13:25:41
8;A;01/06/2015 13:25:41
8;A;02/06/2015 13:25:41
8;A;03/06/2015 13:25:41
8;A;04/06/2015 13:25:41
8;A;05/06/2015 13:25:41
9;A;06/06/2015 13:25:41
9;A;07/06/2015 13:25:41
9;A;08/06/2015 13:25:41
9;A;09/06/2015 13:25:41
9;A;10/06/2015 13:25:41
9;A;11/06/2015 13:25:41
9;A;12/06/2015 13:25:41
9;A;13/06/2015 13:25:41
9;A;14/06/2015 13:25:41
9;A;15/06/2015 13:25:41
9;A;16/06/2015 13:25:41
9;A;17/06/2015 13:25:41
9;A;18/06/2015 13:25:41
9;A;19/06/2015 13:25:41
9;A;20/06/2015 13:25:41
9;A;21/06/2015 13:25:41
9;A;22/06/2015 13:25:41
9;A;23/06/2015 13:25:41
9;A;24/06/2015 13:25:41
9;A;25/06/2015 13:25:41
10;C;26/06/2015 13:25:41
10;C;27/06/2015 13:25:41
10;C;28/06/2015 13:25:41
10;C;29/06/2015 13:25:41
10;C;30/06/2015 13:25:41
10;C;01/07/2015 13:25:41
10;C;02/07/2015 13:25:41
10;C;03/07/2015 13:25:41
10;C;04/07/2015 13:25:41
10;C;05/07/2015 13:25:41
10;C;06/07/2015 13:25:41
10;C;07/07/2015 13:25:41
10;C;08/07/2015 13:25:41
10;C;09/07/2015 13:25:41
10;C;10/07/2015 13:25:41
10;C;11/07/2015 13:25:41
10;C;12/07/2015 13:25:41
10;C;13/07/2015 13:25:41
10;C;14/07/2015 13:25:41
10;C;15/07/2015 13:25:41
11;C;16/07/2015 13:25:41
11;C;17/07/2015 13:25:41
11;C;18/07/2015 13:25:41
11;C;19/07/2015 13:25:41
11;C;20/07/2015 13:25:41
11;C;21/07/2015 13:25:41
11;C;22/07/2015 13:25:41
11;C;23/07/2015 13:25:41
11;C;24/07/2015 13:25:41
11;C;25/07/2015 13:25:41
11;C;26/07/2015 13:25:41
11;C;27/07/2015 13:25:41
11;C;28/07/2015 13:25:41
11;C;29/07/2015 13:25:41
11;C;30/07/2015 13:25:41
11;C;31/07/2015 13:25:41
11;C;01/08/2015 13:25:41
11;C;02/08/2015 13:25:41
11;C;03/08/2015 13:25:41
11;C;04/08/2015 13:25:41
12;C;05/08/2015 13:25:41
12;C;06/08/2015 13:25:41
12;C;07/08/2015 13:25:41
12;C;08/08/2015 13:25:41
12;C;09/08/2015 13:25:41
12;C;10/08/2015 13:25:41
12;C;11/08/2015 13:25:41
12;C;12/08/2015 13:25:41
12;C;13/08/2015 13:25:41
12;C;14/08/2015 13:25:41
12;C;15/08/2015 13:25:41
12;C;16/08/2015 13:25:41
12;C;17/08/2015 13:25:41
12;C;18/08/2015 13:25:41
12;C;19/08/2015 13:25:41
12;C;20/08/2015 13:25:41
12;C;21/08/2015 13:25:41
12;C;22/08/2015 13:25:41
12;C;23/08/2015 13:25:41
12;C;24/08/2015 13:25:41
13;C;25/08/2015 13:25:41
13;C;26/08/2015 13:25:41
13;C;27/08/2015 13:25:41
13;C;28/08/2015 13:25:41
13;C;29/08/2015 13:25:41
13;C;30/08/2015 13:25:41
13;C;31/08/2015 13:25:41
13;C;01/09/2015 13:25:41
13;C;02/09/2015 13:25:41
13;C;03/09/2015 13:25:41
13;C;04/09/2015 13:25:41
13;C;05/09/2015 13:25:41
13;C;06/09/2015 13:25:41
13;C;07/09/2015 13:25:41
13;C;08/09/2015 13:25:41
13;C;09/09/2015 13:25:41
13;C;10/09/2015 13:25:41
13;C;11/09/2015 13:25:41
13;C;12/09/2015 13:25:41
13;C;13/09/2015 13:25:41
14;C;14/09/2015 13:25:41
14;C;15/09/2015 13:25:41
14;C;16/09/2015 13:25:41
14;C;17/09/2015 13:25:41
14;C;18/09/2015 13:25:41
14;C;19/09/2015 13:25:41
14;C;20/09/2015 13:25:41
14;C;21/09/2015 13:25:41
14;C;22/09/2015 13:25:41
14;C;23/09/2015 13:25:41
14;C;24/09/2015 13:25:41
14;C;25/09/2015 13:25:41
14;C;26/09/2015 13:25:41
14;C;27/09/2015 13:25:41
14;C;28/09/2015 13:25:41
14;C;29/09/2015 13:25:41
14;C;30/09/2015 13:25:41
14;C;01/10/2015 13:25:41
14;C;02/10/2015 13:25:41
14;C;03/10/2015 13:25:41
15;C;04/10/2015 13:25:41
15;C;05/10/2015 13:25:41
15;C;06/10/2015 13:25:41
15;C;07/10/2015 13:25:41
15;C;08/10/2015 13:25:41
15;C;09/10/2015 13:25:41
15;C;10/10/2015 13:25:41
15;C;11/10/2015 13:25:41
15;C;12/10/2015 13:25:41
15;C;13/10/2015 13:25:41
15;C;14/10/2015 13:25:41
15;C;15/10/2015 13:25:41
15;C;16/10/2015 13:25:41
15;C;17/10/2015 13:25:41
15;C;18/10/2015 13:25:41
15;C;19/10/2015 13:25:41
15;C;20/10/2015 13:25:41
15;C;21/10/2015 13:25:41
15;C;22/10/2015 13:25:41
15;C;23/10/2015 13:25:41
16;C;24/10/2015 13:25:41
16;C;25/10/2015 13:25:41
16;C;26/10/2015 13:25:41
16;C;27/10/2015 13:25:41
16;C;28/10/2015 13:25:41
16;C;29/10/2015 13:25:41
16;C;30/10/2015 13:25:41
16;C;31/10/2015 13:25:41
16;C;01/11/2015 13:25:41
16;C;02/11/2015 13:25:41
16;C;03/11/2015 13:25:41
16;C;04/11/2015 13:25:41
16;C;05/11/2015 13:25:41
16;C;06/11/2015 13:25:41
16;C;07/11/2015 13:25:41
16;C;08/11/2015 13:25:41
16;C;09/11/2015 13:25:41
16;C;10/11/2015 13:25:41
16;C;11/11/2015 13:25:41
16;C;12/11/2015 13:25:41
17;C;13/11/2015 13:25:41
17;C;14/11/2015 13:25:41
17;C;15/11/2015 13:25:41
17;C;16/11/2015 13:25:41
17;C;17/11/2015 13:25:41
17;C;18/11/2015 13:25:41
17;C;19/11/2015 13:25:41
17;C;20/11/2015 13:25:41
17;C;21/11/2015 13:25:41
17;C;22/11/2015 13:25:41
